准备|Zhǔnbèi|To prepare
礼物|Lǐwù|Gift
生日|Shēngrì|Birthday
蛋糕|Dàngāo|Cake
晚饭|Wǎnfàn|Dinner
以后|Yǐhòu|After
一直|Yìzhí|All along
忙|Máng|Busy
还是|Háishi|Or
女|Nǚ|Female
可|Kě|Possible; worth
比如|Bǐrú|For example
送|Sòng|To give; to give as a gift
说|Shuō|To say; to speak
特别|Tèbié|Special
男|Nán|Male
束|Shù|Bouquet; measure word
花|Huā|Flower
主意|Zhǔyi|Idea
又|Yòu|Again
巧克力|Qiǎokèlì|Chocolate
甜|Tián|Sweet
号|Hào|Size; number
那么|Nàme|Then; in that case
好好儿|Hǎohāor|To one's heart content; all out
觉得|Juéde|To feel; to think
没意思|Méi yìsi|Boring
电视|Diànshì|TV; television
了|Le|Particle
看起来|Kànqilai|It looks like; it seems that
啦|La|Modal particle
可以|Kěyǐ|May; can; be able to
逛|Guàng|To go out shopping; to walk
学习|Xuéxí|To study
不同|Bùtóng|Different
安排|Ānpái|To arrange
洗|Xǐ|To wash
睡懒觉|Shuì lǎnjiào|To get up late
睡觉|Shuìjiào|To sleep
出去|Chūqu|To go out
跳舞|Tiàowǔ|To dance
听|Tīng|To listen
音乐会|Yīnyuèhuì|Concert
做客|Zuòkè|To be a guest
上|Shàng|Last; previous
包|Bāo|To wrap
饺子|Jiǎozi|Dumpling
迪厅|Dítīng|Discotheque
哎呀|Āiyā|Interjection
客气|Kèqi|Courteous; polite
一点儿|Yìdiǎnr|A little
心意|Xīnyì|Regard; appreciation
请进|Qǐng jìn|Come in, please
真|Zhēn|Really
干净|Gānjìng|Clean
坐|Zuò|To sit
行|Xíng|OK
路上|Lùshang|On the road; on the way
顺利|Shùnlì|Smooth; uneventful
上|Shàng|On
收下|Shōuxia|To accept; to take
茶|Chá|Tea
果汁|Guǒzhī|Fruit juice
随便|Suíbiàn|Anything is OK; casual
地铁|Dìtiě|Subway
饿|È|Hungry
吃|Chī|To eat
会|Huì|Can; to know how to
挤|Jǐ|Crowded
打车|Dǎchē|To take a taxi
空调|Kōngtiáo|Air conditioner
大巴|Dàbā|Bus
过|Guò|To spend time; to celebrate
节|Jié|Festival; holiday
客人|Kèren|Guest
南方|Nánfāng|The southern part of China
试|Shì|To try
好吃|Hǎochī|Delicious; tasty
味道|Wèidao|Taste; flavour
北方|Běifāng|The northern part of China
种|Zhǒng|Type; kind
食品|Shípǐn|Food
麻烦|Máfan|Troublesome
少|Shǎo|Few
米饭|Mǐfàn|Cooked rice
面食|Miànshí|Wheat-based foods
对……来说|Duì... lái shuō|For someone
重要|Zhòngyào|Important
速冻|Sùdòng|Frozen
如果|Rúguǒ|If
的话|Dehuà|Used at the end of a conditional clause
想|Xiǎng|To want to
馅儿|Xiànr|Filling
得|Děi|Must; have to
花|Huā|To spend
超市|Chāoshì|Supermarket
有意思|Yǒu yìsi|Interesting
多|Duō|How
长|Cháng|Long
年|Nián|Year
袋|Dài|Pack; bag
偷懒|Tōulǎn|To be lazy
大家|Dàjiā|Everyone
热闹|Rènao|Bustling with activity
不好意思|Bù hǎoyìsi|Sorry; embarrassed
才|Cái|Not until; as late as
起床|Qǐchuáng|To get up from bed
床|Chuáng|Bed
习惯|Xíguàn|To be used to; to become accustomed
生活|Shēnghuó|Life
刚|Gāng|Just
已经|Yǐjīng|Already
工作|Gōngzuò|To work
毛病|Máobing|Bad habit; flaw
改|Gǎi|To change
大|Dà|Old; older
睡|Shuì|To sleep; to go to sleep
夜里|Yèli|Nighttime
点钟|Diǎnzhōng|O'clock
早睡早起|Zǎo shuì zǎo qǐ|Early to bed and early to rise
别客气|Bié kèqi|Don't be so polite; that's OK
别|Bié|Don't
无聊|Wúliáo|Boring; uninteresting
医院|Yīyuàn|Hospital
年纪|Niánjì|Age
大概|Dàgài|About; approximately
岁|Suì|Years old
看|Kàn|To see; to visit
考试|Kǎoshì|Exam; to take an exam
累|Lèi|Tired
死|Sǐ|To die; to death
住|Zhù|To reside; to live somewhere
做梦|Zuòmèng|To dream; to have a dream
幸福|Xìngfú|Happy
背|Bèi|To recite; to memorise
生词|Shēngcí|New words
炒|Chǎo|To stir-fry
菜|Cài|Vegetable; prepared dish
面条儿|Miàntiáor|Noodle
病人|Bìngrén|Patient; ill person
问|Wèn|To ask
医生|Yīshēng|Doctor
同意|Tóngyì|To agree
对了|Duì le|Oh yeah; by the way
脸色|Liǎnsè|Look; facial colour
熬夜|Áoyè|To stay up late or all night
斤|Jīn|Half a kilogram
白酒|Báijiǔ|Chinese distilled liquor
身体|Shēntǐ|Body; health
药|Yào|Medicine; medication
生气|Shēngqì|To be angry; to be mad
好像|Hǎoxiàng|It seems
吐|Tù|To vomit; to throw up
饭|Fàn|Food; cooked rice
热情|Rèqíng|Hospitable; enthusiastic
不停|Bùtíng|Continuously; without stopping
头|Tóu|Head
疼|Téng|Hurt; ache
疯|Fēng|To be crazy
醉|Zuì|To be drunk
请客|Qǐngkè|To host; to treat someone
劝酒|Quànjiǔ|To urge someone to drink more
渴|Kě|Thirsty
帮|Bāng|To help
地|De|Structural particle
倒|Dào|To pour
酒|Jiǔ|Alcohol; liquor; wine
有的|Yǒude|Some
病|Bìng|To be ill
感冒|Gǎnmào|To catch a cold; to have a cold
头疼|Tóuténg|Headache
发烧|Fāshāo|To have a fever
杯|Bēi|Glass; cup
困|Kùn|Sleepy
继续|Jìxù|To continue
能|Néng|Can; be able to
比赛|Bǐsài|Match; game
回来|Huílai|To come back
带|Dài|To bring
伞|Sǎn|Umbrella
咳嗽|Késou|To cough
前天|Qiántiān|The day before yesterday
场|Chǎng|Measure word for a game or event
足球|Zúqiú|Soccer; football
休息|Xiūxi|To rest
请假条|Qǐngjiàtiáo|Written request for leave
请假|Qǐngjià|To ask for leave
希望|Xīwàng|To hope; to wish
看病|Kàn bìng|To see a doctor
开|Kāi|To write out
打针|Dǎzhēn|To get an injection
最好|Zuìhǎo|Had better; had best
堵车|Dǔchē|Traffic jam
堵|Dǔ|To block; to stop up
坏|Huài|To break down; broken
轮胎|Lúntāi|Tyre
批准|Pīzhǔn|To approve; to grant a request
月|Yuè|Month
日|Rì|Day; date
迟到|Chídào|To arrive late
钟头|Zhōngtóu|Hour
着急|Zháojí|Anxious
用|Yòng|To use
写|Xiě|To write
破|Pò|To break open; to tear
倒霉|Dǎoméi|Having bad luck
小时|Xiǎoshí|Hour
平时|Píngshí|In normal times
初中|Chūzhōng|Junior high school
那么|Nàme|That; to that degree
语法|Yǔfǎ|Grammar
简单|Jiǎndān|Simple
作文|Zuòwén|Essay
口语|Kǒuyǔ|Spoken language; oral language
看|Kàn|To see from one's point of view
学|Xué|To learn; to study
球|Qiú|Ball
食堂|Shítáng|Cafeteria; dining hall
两|Liǎng|Ounce; unit of weight
聚会|Jùhuì|Get-together; party
翻译|Fānyì|To translate
下|Xià|Next
学期|Xuéqī|Semester
打|Dǎ|To play
冰激凌|Bīngjīlíng|Ice cream
女生|Nǚshēng|Female student
卡拉OK|Kǎlā OK|Karaoke
晚|Wǎn|Late
祝|Zhù|To wish
快乐|Kuàilè|Happy
碗|Wǎn|Bowl
葡萄酒|Pútaojiǔ|Wine
意见|Yìjiàn|Opinion
早饭|Zǎofàn|Breakfast
找|Zhǎo|To look for
门口|Ménkǒu|Entrance; gate; doorway
放心|Fàngxīn|To set one's mind at ease
美术馆|Měishùguǎn|Art museum; art gallery
展览|Zhǎnlǎn|To exhibit; exhibition
没意见|Méi yìjiàn|To agree; to have no objection
这么|Zhème|This; so; to this degree
电视剧|Diànshìjù|TV drama; soap opera
太极拳|Tàijíquán|Taiji; traditional shadowboxing
参加|Cānjiā|To attend; to participate
见面|Jiànmiàn|To meet
上网|Shàngwǎng|To go online; to access the internet
聊天儿|Liáotiānr|To chat
晚安|Wǎn'ān|Good night
闹钟|Nàozhōng|Alarm clock
空气|Kōngqì|Air
新鲜|Xīnxiān|Fresh
湖|Hú|Lake
班|Bān|Class; team; section
报名|Bàomíng|To register; to sign up
忘|Wàng|To forget
重新|Chóngxīn|Over again; anew
锻炼|Duànliàn|To exercise
